"","city","status","species","region","city_new","pop_1","M_all"
"1","C-CS","3.post-observed","PM25","C","C-CS-obs",285698.88,2.96512083172658
"2","C-CS","3.post-predicted","PM25","C","C-CS-pre",285698.88,2.9814677842389
"3","C-NY","3.post-observed","PM25","C","C-NY-obs",383667.45,3.22637115724541
"4","C-NY","3.post-predicted","PM25","C","C-NY-pre",383667.45,3.39902202844628
"5","C-WH","3.post-observed","PM25","C","C-WH-obs",290048,3.02350322663123
"6","C-WH","3.post-predicted","PM25","C","C-WH-pre",290048,3.29140771247296
"7","C-ZZ","3.post-observed","PM25","C","C-ZZ-obs",349995.2,2.9957745775431
"8","C-ZZ","3.post-predicted","PM25","C","C-ZZ-pre",349995.2,3.13937903636136
"9","E-HF","3.post-observed","PM25","E","E-HF-obs",305864.68,1.87311928886852
"10","E-HF","3.post-predicted","PM25","E","E-HF-pre",305864.68,2.12926992202732
"11","E-JN","3.post-observed","PM25","E","E-JN-obs",325866.66,3.49209156289174
"12","E-JN","3.post-predicted","PM25","E","E-JN-pre",325866.66,3.55751266680959
"13","E-NJ","3.post-observed","PM25","E","E-NJ-obs",275410.16,2.13635455429207
"14","E-NJ","3.post-predicted","PM25","E","E-NJ-pre",275410.16,2.61094506301655
"15","E-QD","3.post-observed","PM25","E","E-QD-obs",321882.96,2.67979114878848
"16","E-QD","3.post-predicted","PM25","E","E-QD-pre",321882.96,2.81522359748922
"17","E-SH","3.post-observed","PM25","E","E-SH-obs",578904.2,1.52357063069254
"18","E-SH","3.post-predicted","PM25","E","E-SH-pre",578904.2,1.91995681035774
"19","E-SZ","3.post-observed","PM25","E","E-SZ-obs",278249.44,4.29751658029582
"20","E-SZ","3.post-predicted","PM25","E","E-SZ-pre",278249.44,4.84391439739534
"21","E-WF","3.post-observed","PM25","E","E-WF-obs",322679.7,3.93898874028337
"22","E-WF","3.post-predicted","PM25","E","E-WF-pre",322679.7,4.1419765854569
"23","E-WX","3.post-observed","PM25","E","E-WX-obs",288783.27,2.16610339242059
"24","E-WX","3.post-predicted","PM25","E","E-WX-pre",288783.27,2.41148780400556
"25","N-BD","3.post-observed","PM25","N","N-BD-obs",411577.2,2.66369733193529
"26","N-BD","3.post-predicted","PM25","N","N-BD-pre",411577.2,3.15611490409862
"27","N-BJ","3.post-observed","PM25","N","N-BJ-obs",486295.2,2.04589084111132
"28","N-BJ","3.post-predicted","PM25","N","N-BJ-pre",486295.2,2.19633593927735
"29","N-HHT","3.post-observed","PM25","N","N-HHT-obs",100988.44,1.66700873649542
"30","N-HHT","3.post-predicted","PM25","N","N-HHT-pre",100988.44,1.73232900269377
"31","N-SJZ","3.post-observed","PM25","N","N-SJZ-obs",369388.89,3.25379380541475
"32","N-SJZ","3.post-predicted","PM25","N","N-SJZ-pre",369388.89,3.47947789699132
"33","N-TJ","3.post-observed","PM25","N","N-TJ-obs",393396.8,2.018217221118
"34","N-TJ","3.post-predicted","PM25","N","N-TJ-pre",393396.8,2.01049961934633
"35","N-TY","3.post-observed","PM25","N","N-TY-obs",156468,2.44947317818291
"36","N-TY","3.post-predicted","PM25","N","N-TY-pew",156468,2.30419846343113
"37","NE-CC","3.post-observed","PM25","NE","NE-CC-obs",300766.2,2.36070929999991
"38","NE-CC","3.post-predicted","PM25","NE","NE-CC-pre",300766.2,2.18395866161102
"39","NE-HB","3.post-observed","PM25","NE","NE-HB-obs",374827.96,2.03868630696476
"40","NE-HB","3.post-predicted","PM25","NE","NE-HB-pre",374827.96,1.87051372078691
"41","NE-SY","3.post-observed","PM25","NE","NE-SY-obs",324495.6,2.67817124297176
"42","NE-SY","3.post-predicted","PM25","NE","NE-SY-pre",324495.6,2.64411104270301
"43","NW-LZ","3.post-observed","PM25","NW","NW-LZ-obs",138410.64,2.13154366551442
"44","NW-LZ","3.post-predicted","PM25","NW","NW-LZ-pre",138410.64,2.0946385953229
"45","NW-URQ","3.post-observed","PM25","NW","NW-URQ-obs",90047.54,2.05640093319657
"46","NW-URQ","3.post-predicted","PM25","NW","NW-URQ-pre",90047.54,1.89112244665738
"47","NW-XA","3.post-observed","PM25","NW","NW-XA-obs",391306.66,2.79873896332743
"48","NW-XA","3.post-predicted","PM25","NW","NW-XA-pre",391306.66,2.97410105454214
"49","NW-XN","3.post-observed","PM25","NW","NW-XN-obs",62182.89,1.91877221239823
"50","NW-XN","3.post-predicted","PM25","NW","NW-XN-pre",62182.89,2.00959827508489
"51","NW-YC","3.post-observed","PM25","NW","NW-YC-obs",82821.55,1.67891916662463
"52","NW-YC","3.post-predicted","PM25","NW","NW-YC-pre",82821.55,1.50336233313721
"53","S-DG","3.post-observed","PM25","S","S-DG-obs",392932.64,1.30234144245655
"54","S-DG","3.post-predicted","PM25","S","S-DG-pre",392932.64,1.59241474108727
"55","S-GZ-obs","3.post-observed","PM25","S","S-GZ-obs",392932.64,1.02589116627625
"56","S-GZ-obs","3.post-predicted","PM25","S","S-GZ-pre",392932.64,1.25869491554953
"57","S-HK","3.post-observed","PM25","S","S-HK-obs",75167.79,0.970244047812943
"58","S-HK","3.post-predicted","PM25","S","S-HK-pre",75167.79,1.0596772756459
"59","S-NN","3.post-observed","PM25","S","S-NN-obs",332337.25,1.56696407255441
"60","S-NN","3.post-predicted","PM25","S","S-NN-pre",332337.25,1.59826278675037
"61","S-SZ","3.post-observed","PM25","S","S-SZ-obs",525003,1.08343944369926
"62","S-SZ","3.post-predicted","PM25","S","S-SZ-pre",525003,1.27825322307797
"63","SE-FZ","3.post-observed","PM25","SE","SE-FZ-obs",295397.44,1.38705385964167
"64","SE-FZ","3.post-predicted","PM25","SE","SE-FZ-pre",295397.44,1.60435168082548
"65","SE-HZ","3.post-observed","PM25","SE","SE-HZ-obs",305422.08,1.81673880445577
"66","SE-HZ","3.post-predicted","PM25","SE","SE-HZ-pre",305422.08,2.0171665429989
"67","SE-NC","3.post-observed","PM25","SE","SE-NC-obs",207432,2.11487230465678
"68","SE-NC","3.post-predicted","PM25","SE","SE-NC-pre",207432,2.23408580990858
"69","SW-CD","3.post-observed","PM25","SW","SW-CD-obs",492022.96,2.67548938153098
"70","SW-CD","3.post-predicted","PM25","SW","SW-CD-pre",492022.96,2.78548077036471
"71","SW-CQ","3.post-observed","PM25","SW","SW-CQ-obs",335183.81,2.5819550735893
"72","SW-CQ","3.post-predicted","PM25","SW","SW-CQ-pre",335183.81,2.64788752897432
"73","SW-GY","3.post-observed","PM25","SW","SW-GY-obs",177977.28,1.74283120142211
"74","SW-GY","3.post-predicted","PM25","SW","SW-GY-pre",177977.28,1.93577736922176
"75","SW-KM","3.post-observed","PM25","SW","SW-KM-obs",245267.04,1.32924536875123
"76","SW-KM","3.post-predicted","PM25","SW","SW-KM-pre",245267.04,1.37792096265115
"77","SW-LS","3.post-observed","PM25","SW","SW-LS-obs",35410.32,0.564489339269989
"78","SW-LS","3.post-predicted","PM25","SW","SW-LS-pre",35410.32,0.573701392386161
